Brand,comments,,,
stormfiber,Package.?,,,
stormfiber,"Muhammad Ali, check inbox.",,,
stormfiber,Nadeem Ali,,,
stormfiber,Ap ky pkges kiya hain or un ki fees kiya hy,,,
stormfiber,Any service is karachi nazimabad?,,,
stormfiber,"Yes we are operating here, Can you inbox us your contact number?",,,
stormfiber,What about the old connections,,,
stormfiber,"Please inbox us with your concern, so we can assist.",,,
stormfiber,Peshawar may in ka office kaha ha koi bata sakta ha plz.,,,
stormfiber,Abdul Rehman Khan,,,
stormfiber,Alhamdulilla Issues resolved at last....,,,
stormfiber,How I avail this services,,,
stormfiber,Please inbox us your number,,,
stormfiber,StormFiber tell me charges i want ur internet,,,
stormfiber,"Ashir Khan, check inbox.",,,
stormfiber,Detail?,,,
stormfiber,Please inbox us with your city and contact number.,,,
stormfiber,Lahore Sanda ke area mein kab ani hai apki service ?.. jidon sadiyan qabar vich lataan honiyaan ne? Marzi ae strom fiber waleyo.. Allah tuwano pochy ga :-(,,,
stormfiber,السلام علیکم روالپنڈی میں آپ کی سروس ہیں,,,
stormfiber,"WAS. The city is a part of our plan and is a potential target for us. Please stay tuned to us for further updates, we will be making an announcement when we launch there.",,,
stormfiber,"I want connection.
What's process?",,,
stormfiber,City?,,,
stormfiber,Abu Huraira,,,
stormfiber,I want internet connection for home .. can u please give me all details ?,,,
stormfiber,Meesam Abbas,,,
stormfiber,I want internet connection... Plz tell me charges,,,
stormfiber,Can you please inbox us your contact number?,,,
stormfiber,Sir please tell me your charges and speed .My city is nankana sahib.,,,
stormfiber,Plz Come launch Storm Fiber in Mianwali....I guarantees U That U will get thousands of Connection here .... Because ptcl charges are so high .....Plz sir come here #PMCity,,,
stormfiber,Please stay tuned.,,,
stormfiber,Charges & details plz,,,
stormfiber,"Syeda Tehseen Zahra Jaffri, check inbox please.",,,
stormfiber,Ali Akbar Shah,,,
stormfiber,Thanks for the prompt response StormFiber... Connection is stable now.,,,
stormfiber,"Need info
IAM from Quetta",,,
stormfiber,"Please inbox us with your contact number, we will align our team to call and assist you.",,,
stormfiber,What is your monthly pkgs,,,
stormfiber,"Naeem Khan, please stay tuned for the updates.",,,
stormfiber,i want to connect with your service ... details pls,,,
stormfiber,"Muhammad Salman, check inbox.",,,
stormfiber,details please,,,
stormfiber,"Syed Karrar Haider, please inbox us with your contact details and city.",,,
stormfiber,How to pay bill online???,,,
stormfiber,Kindly check your inbox.,,,
stormfiber,Bahi koi batayga is k bare me k kitna acha a??,,,
